status,experiment_name,comparison_file,game_index,seed,board_rows,board_cols,win_length,tested_agent_name,opponent_name,tested_agent_side,opponent_side,agent_x_name,agent_o_name,winner,outcome_for_tested_agent,moves_played,runtime_seconds,seconds_per_move,timestamp_start,timestamp_end,tested_agent_simulations,tested_agent_selection_policy,tested_agent_exploration_constant,tested_agent_heuristic_weight,tested_agent_thompson_prior_alpha,tested_agent_thompson_prior_beta,tested_agent_rollout_policy,tested_agent_use_tactical_guard,tested_agent_use_heuristic_expansion,tested_agent_use_fork_detection,opponent_simulations,opponent_selection_policy,opponent_exploration_constant,opponent_heuristic_weight,opponent_thompson_prior_alpha,opponent_thompson_prior_beta,opponent_rollout_policy,opponent_use_tactical_guard,opponent_use_heuristic_expansion,opponent_use_fork_detection,error_message
ok,18_simple_uct_c_1_0_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,1,0,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,X,O,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,DRAW,draw,49,13.250269,0.270414,2026-08-08T16:14:03,2026-08-08T16:14:17,400,UCTSelectionPolicy,1.0,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
ok,18_simple_uct_c_1_0_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,2,1,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,O,X,WeakTacticalAgent,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",X,loss,19,7.120868,0.374783,2026-08-08T16:14:17,2026-08-08T16:14:24,400,UCTSelectionPolicy,1.0,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
ok,18_simple_uct_c_1_0_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,3,2,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,X,O,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,X,win,19,8.317475,0.437762,2026-08-08T16:14:24,2026-08-08T16:14:32,400,UCTSelectionPolicy,1.0,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
ok,18_simple_uct_c_1_0_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,4,3,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,O,X,WeakTacticalAgent,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",X,loss,19,6.918037,0.364107,2026-08-08T16:14:32,2026-08-08T16:14:39,400,UCTSelectionPolicy,1.0,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
ok,18_simple_uct_c_1_0_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,5,4,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,X,O,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,O,loss,18,7.364677,0.409149,2026-08-08T16:14:39,2026-08-08T16:14:46,400,UCTSelectionPolicy,1.0,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
ok,18_simple_uct_c_1_0_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,6,5,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,O,X,WeakTacticalAgent,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",O,win,16,6.182867,0.386429,2026-08-08T16:14:46,2026-08-08T16:14:52,400,UCTSelectionPolicy,1.0,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
ok,18_simple_uct_c_1_0_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,7,6,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,X,O,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,O,loss,22,7.957750,0.361716,2026-08-08T16:14:52,2026-08-08T16:15:00,400,UCTSelectionPolicy,1.0,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
ok,18_simple_uct_c_1_0_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,8,7,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,O,X,WeakTacticalAgent,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",O,win,16,6.274843,0.392178,2026-08-08T16:15:00,2026-08-08T16:15:07,400,UCTSelectionPolicy,1.0,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
ok,18_simple_uct_c_1_0_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,9,8,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,X,O,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,X,win,11,5.289062,0.480824,2026-08-08T16:15:07,2026-08-08T16:15:12,400,UCTSelectionPolicy,1.0,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
ok,18_simple_uct_c_1_0_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,10,9,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,O,X,WeakTacticalAgent,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",O,win,14,5.468877,0.390634,2026-08-08T16:15:12,2026-08-08T16:15:17,400,UCTSelectionPolicy,1.0,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
ok,18_simple_uct_c_1_0_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,11,10,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,X,O,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,O,loss,22,7.852220,0.356919,2026-08-08T16:15:17,2026-08-08T16:15:25,400,UCTSelectionPolicy,1.0,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
ok,18_simple_uct_c_1_0_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,12,11,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,O,X,WeakTacticalAgent,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",X,loss,27,8.296396,0.307274,2026-08-08T16:15:25,2026-08-08T16:15:34,400,UCTSelectionPolicy,1.0,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
ok,18_simple_uct_c_1_0_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,13,12,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,X,O,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,O,loss,18,7.121252,0.395625,2026-08-08T16:15:34,2026-08-08T16:15:41,400,UCTSelectionPolicy,1.0,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
ok,18_simple_uct_c_1_0_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,14,13,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,O,X,WeakTacticalAgent,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",X,loss,19,6.741578,0.354820,2026-08-08T16:15:41,2026-08-08T16:15:47,400,UCTSelectionPolicy,1.0,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
ok,18_simple_uct_c_1_0_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,15,14,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,X,O,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,O,loss,18,7.017191,0.389844,2026-08-08T16:15:47,2026-08-08T16:15:55,400,UCTSelectionPolicy,1.0,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
ok,18_simple_uct_c_1_0_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,16,15,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,O,X,WeakTacticalAgent,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",X,loss,17,6.180299,0.363547,2026-08-08T16:15:55,2026-08-08T16:16:01,400,UCTSelectionPolicy,1.0,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
ok,18_simple_uct_c_1_0_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,17,16,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,X,O,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,O,loss,28,9.382751,0.335098,2026-08-08T16:16:01,2026-08-08T16:16:10,400,UCTSelectionPolicy,1.0,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
ok,18_simple_uct_c_1_0_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,18,17,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,O,X,WeakTacticalAgent,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",X,loss,19,6.459145,0.339955,2026-08-08T16:16:10,2026-08-08T16:16:17,400,UCTSelectionPolicy,1.0,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
ok,18_simple_uct_c_1_0_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,19,18,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,X,O,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,X,win,13,5.880010,0.452308,2026-08-08T16:16:17,2026-08-08T16:16:22,400,UCTSelectionPolicy,1.0,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
ok,18_simple_uct_c_1_0_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,20,19,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,O,X,WeakTacticalAgent,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",X,loss,21,7.212465,0.343451,2026-08-08T16:16:22,2026-08-08T16:16:30,400,UCTSelectionPolicy,1.0,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
ok,18_simple_uct_c_1_0_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,21,20,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,X,O,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,O,loss,22,8.064782,0.366581,2026-08-08T16:16:30,2026-08-08T16:16:38,400,UCTSelectionPolicy,1.0,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
ok,18_simple_uct_c_1_0_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,22,21,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,O,X,WeakTacticalAgent,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",X,loss,19,6.448449,0.339392,2026-08-08T16:16:38,2026-08-08T16:16:44,400,UCTSelectionPolicy,1.0,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
ok,18_simple_uct_c_1_0_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,23,22,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,X,O,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,O,loss,24,8.333408,0.347225,2026-08-08T16:16:44,2026-08-08T16:16:53,400,UCTSelectionPolicy,1.0,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
ok,18_simple_uct_c_1_0_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,24,23,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,O,X,WeakTacticalAgent,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",X,loss,21,7.065828,0.336468,2026-08-08T16:16:53,2026-08-08T16:17:00,400,UCTSelectionPolicy,1.0,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
ok,18_simple_uct_c_1_0_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,25,24,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,X,O,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,O,loss,24,8.288083,0.345337,2026-08-08T16:17:00,2026-08-08T16:17:08,400,UCTSelectionPolicy,1.0,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
ok,18_simple_uct_c_1_0_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,26,25,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,O,X,WeakTacticalAgent,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",X,loss,21,7.171551,0.341502,2026-08-08T16:17:08,2026-08-08T16:17:15,400,UCTSelectionPolicy,1.0,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
ok,18_simple_uct_c_1_0_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,27,26,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,X,O,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,O,loss,14,5.895555,0.421111,2026-08-08T16:17:15,2026-08-08T16:17:21,400,UCTSelectionPolicy,1.0,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
ok,18_simple_uct_c_1_0_vs_weak_tactical,C:\Users\alexk\PycharmProjects\COMP66060_Masters_Project\src\experiments\win_rate_by_agent\18_simple_uct_c_sweep_vs_weak_tactical.py,28,27,7,7,5,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",WeakTacticalAgent,O,X,WeakTacticalAgent,"MCTSAgent(sim=400, selection=UCTSelectionPolicy, C=1, rollout=RandomRollout, guard=False, heuristic_expansion=False, fork_detection=False)",X,loss,21,7.096076,0.337908,2026-08-08T16:17:21,2026-08-08T16:17:28,400,UCTSelectionPolicy,1.0,,1.0,1.0,RandomRollout,False,False,False,,,,,,,,,,,
